name	age	seasons	mins	apps	minapp	starts	subs	ga	ga90	sota	win	draw	loss	cs	csperc	saves	rank
"Keith Branagan"	7	4	6059	68	74.75	67	1	112	1.75238009555	374	16	16	36	15	23.075	68.29809683	7
"Michel Vorm"	8	8	9110	102	88.89759615385	100	2	132	1.2163418497375	469	32	31	39	31	21.8625	68.52197545625	7
"Tony Coton"	5	4	9215	103	89.65625	103	0	119	1.113546091525	475	30	34	40	32	32.575	75.8422232525	7
"Jerzy Dudek"	6	6	11292	126	89.7611111111167	126	0	120	0.9502130906	518	69	28	30	49	39.8166666666667	76.959739355	7
"Mark Bosnich"	10	9	17879	202	88.5033833960222	201	1	204	0.973796747488889	837	89	53	58	71	35.8888888888889	77.0733155666667	7
"Artur Boruc"	7	5	11442	128	89.3224137931	128	0	186	1.44753600638	519	44	36	47	39	30.84	64.64713925	6
"Brian Jensen"	1	1	3344	38	88	38	0	80	2.1531100478	230	8	6	23	3	7.9	65.2173913	6
"Tim Krul"	6	6	14062	157	89.49404761905	156	1	241	1.64015961045	720	53	33	68	41	23.3	66.0099199016667	6
"Scott Carson"	8	6	12938	145	84.9968253968333	144	1	229	1.45445698158333	784	44	35	64	30	17.9333333333333	73.3480662733333	6
"Dmitri Kharine"	7	7	10598	118	89.3714285714286	118	0	143	1.21910206164286	568	42	35	40	37	25.9285714285714	73.6517137571428	6
"Mart Poom"	11	8	12403	140	88.587121212125	136	4	201	1.3470466238625	712	40	37	60	42	32.2875	74.60457429	6
Alisson	1	1	3420	38	90	38	0	22	0.5789473684	99	30	7	1	21	55.3	77.77777778	6
"David Marshall"	4	2	4770	53	90	53	0	117	2.3614864865	323	8	11	34	7	9.45	62.541104185	5
"Jonas Lössl"	2	2	6197	69	89.79032258065	68	1	111	1.6250450126	307	12	15	41	15	21.5	63.71318822	5
"Chris Kirkland"	11	10	16586	188	88.20749372909	188	0	278	1.61108481276	935	50	47	86	47	19.78	68.093500128	5
"Hans Segers"	7	5	10529	118	87.39024390244	117	1	159	1.31180879456	517	45	31	41	33	17.5	69.417934798	5
"Thibaut Courtois"	4	4	11223	126	88.933084239125	126	0	121	1.0002787302	403	76	27	21	48	36.625	69.9816702375	5
"Ed de Goey"	6	6	10891	122	89.2843137254833	122	0	116	1.02211130228333	460	60	34	28	46	35.1666666666667	74.7033451583333	5
"Peter Schmeichel"	11	9	27790	310	89.6523238925111	310	0	284	0.931241575244445	1227	173	81	53	127	40.6888888888889	77.2138372266667	5
"Łukasz Fabiański"	12	10	19499	218	87.92387387388	217	1	311	1.30854583062	1023	81	44	91	56	30.05	69.618904058	4
"Eike Immel"	1	1	3420	38	90	38	0	58	1.5263157895	203	9	11	18	8	21.1	71.42857143	4
