name	age	seasons	mins	apps	minapp	starts	subs	ga	ga90	sota	win	draw	loss	cs	csperc	saves	rank
"Ben Roberts"	7	2	908	11	71.5	9	2	17	1.6229208925	66	3	4	3	1	5.55	79.29782082	28
"Lucas Radebe"	1	1	26	2	13	0	2	1	3.4615384615	5	0	0	1	0		80	28
"Bo Hansen"	1	1	28	1	28	0	1	3	9.6428571429	4	0	0	0	0		25	27
"Steve Mandanda"	1	1	810	9	90	9	0	17	1.8888888889	43	3	2	4	0	0	60.46511628	27
"Sieb Dijkstra"	1	1	990	11	90	11	0	19	1.7272727273	52	3	6	5	2	18.2	63.46153846	27
"Paul Smith"	1	1	535	6	89.1666666667	5	1	8	1.3457943925	22	1	3	2	1	20	63.63636364	27
"Karl Darlow"	3	2	1710	19	90	19	0	26	1.3611111111	85	4	8	7	5	26.65	69.117647055	27
"Harald Wapenaar"	1	1	450	5	90	5	0	7	1.4	25	1	0	4	1	20	72	27
"Paulo Gazzaniga"	7	6	2193	25	88.8125	24	1	35	1.17269984916667	106	8	5	11	4	26.45	72.4757333033333	27
"Carlo Nash"	5	4	1620	18	90	18	0	30	1.361111111125	103	6	3	9	3	31.95	75.6225296425	27
"Pegguy Arphexad"	5	4	1891	23	76.051136363625	18	5	24	1.0390817352	116	8	6	6	5	25	78.1090282725	27
"Declan Rudd"	5	2	1090	13	70	12	1	26	2.39545454545	64	3	1	8	2	9.1	63.703703705	26
"Richard Lee"	1	1	854	10	85.4	9	1	14	1.4754098361	61	1	3	6	3	33.3	77.04918033	26
"Marcus Bettinelli"	1	1	630	7	90	7	0	20	2.8571428571	40	1	2	4	0	0	50	25
"Ben Hamer"	5	3	1548	19	79.25	18	1	36	2.2362102033	88	3	3	12	5	28.3666666666667	58.5823754766667	25
"Ian Bennett"	5	3	1541	18	85.6111111111	16	2	28	1.9809110629	85	5	4	8	5	21.6666666666667	63.62715299	25
"Espen Baardsen"	7	4	2160	24	90	23	1	33	1.9861111111	119	9	5	9	8	18.75	67.8571428575	25
"Chris Day"	1	1	990	11	90	11	0	16	1.4545454545	52	3	2	6	2	18.2	69.23076923	25
"Bernard Lama"	1	1	1080	12	90	12	0	21	1.75	79	4	5	3	3	25	73.41772152	25
"Orestis Karnezis"	1	1	1292	15	86.1333333333	14	1	24	1.6718266254	56	4	3	7	4	28.6	57.14285714	24
"Gerhard Tremmel"	4	4	2395	29	78.875	26	3	40	1.82381513925	136	6	7	13	4	8.325	61.894466905	24
"Angus Gunn"	1	1	1080	12	90	12	0	18	1.5	51	4	4	4	3	25	64.70588235	24
"Jon Hallworth"	2	2	3150	35	90	35	0	60	1.7220394737	175	8	11	15	3	8.4	65.499736285	24
"Jürgen Macho"	3	3	1905	22	86.1076923077	20	2	36	1.83699612173333	138	3	7	12	3	13.9	70.0218938133333	24
"Andy Dibble"	3	3	2523	29	83.0833333333333	28	1	41	1.3610029541	153	7	13	8	6	14.4	71.80406213	24
"Henrique Hilário"	6	5	1686	20	82.4	18	2	22	1.0852455466	71	11	5	3	6	37.28	73.274725274	24
"Raimond van der Gouw"	5	5	2751	36	79.74857142858	27	9	32	1.02368304372	130	24	6	2	9	47.82	76.196394942	24
"Anders Lindegaard"	3	3	1710	19	90	19	0	21	0.733333333333333	65	14	1	4	9	65	79.2906178466667	24
"Keiren Westwood"	3	2	1611	19	84.76666666665	18	1	33	1.81414574405	76	3	4	11	1	6.25	57.18065004	23
"Andy Marshall"	8	2	3060	33	93.46153846155	33	0	59	1.75357142855	200	7	7	19	6	19.05	70.59294872	23
"Paul Heald"	5	3	1920	22	86.1111111111	21	1	36	1.31210691823333	118	4	7	10	3	5.56666666666667	72.9773462766667	23
"Matt Duke"	2	2	1890	21	90	21	0	30	1.42272727275	115	3	10	8	5	24.1	73.33638584	23
"Stephan Andersen"	2	2	1530	17	90	17	0	29	2.05	113	6	1	10	3	10	73.479532165	23
"Mike Hooper"	3	3	2917	34	82.5370370370333	31	3	39	1.32723621363333	161	18	3	12	10	28.9333333333333	74.4167046633333	23
"Marco Ambrosio"	1	1	720	8	90	8	0	8	1	36	4	2	2	4	50	77.77777778	23
"Radek Černý"	8	3	1826	21	82.8888888889	20	1	22	0.9712720936	117	3	8	9	5	26.9333333333333	83.8215488233333	23
"Geoff Horsfield"	1	1	7	1	7	0	1	0	0	0	0	0	0	0		0	22
"Steve Nicol"	1	1	12	1	12	0	1	2	15	5	0	0	0	0		60	22
"Andreas Isaksson"	2	2	1629	19	87.10714285715	17	2	30	2.0106870229	92	5	4	9	4	16.65	64.30460074	22
"Brad Jones"	12	9	3950	45	84.4444444444444	44	1	65	1.65557081806667	221	13	15	16	11	18.4222222222222	67.2901610155556	22
"Kevin Hitchcock"	7	6	5354	60	87.44444444445	57	3	80	1.45817099568333	276	21	19	20	15	31.65	67.8761892283333	22
"Willy Caballero"	5	5	2393	28	86.63235294118	26	2	26	1.11721275898	88	17	6	3	10	40.82	73.403508774	22
"Alex Manninger"	4	4	3464	39	89.233333333325	38	1	37	0.8431731867	132	21	8	10	18	53.85	75.7361660075	22
"Stephen Pears"	1	1	2141	26	82.3461538462	26	0	48	2.0177487156	122	6	6	14	4	15.4	60.6557377	21
"Maarten Stekelenburg"	4	3	4893	55	89	55	0	86	1.5682136491	241	13	13	27	10	18.8	63.5741830066667	21
"Simon Royce"	6	3	2308	28	85.1951754386	25	3	33	1.70828832723333	127	8	3	14	8	25	74.9337334333333	21
"Tony Warner"	3	2	1756	21	86.2777777778	19	2	37	1.8023777479	133	4	2	14	2	6.25	75.431344355	21
"Stephen Bywater"	9	4	2098	24	74.875	22	2	49	1.259388578525	146	3	5	15	3	11.1	78.84236453	21
"Ádám Bogdán"	6	3	2303	26	86.9166666666667	25	1	50	1.89060887513333	147	6	8	12	1	1.66666666666667	56.3225002366667	20
"Saša Ilić"	3	3	3238	37	88.6666666666667	37	0	56	2.32101838166667	169	7	11	17	11	21.5333333333333	63.91852914	20
"Matt Gilks"	1	1	1575	18	87.5	18	0	35	2	101	5	5	7	3	16.7	65.34653465	20
"Joel Robles"	5	5	4459	51	85.78428571428	48	3	64	1.28441649696	211	20	13	17	17	27.36	69.116300366	20
"Ross Turnbull"	8	6	3015	34	87.5	33	1	49	1.37424242425	196	8	10	16	3	2.26666666666667	71.5373788833333	20
"David Ospina"	4	4	2504	29	81.925	27	2	23	1.271813761475	101	18	6	4	12	36.1	72.613278535	20
"David Stockdale"	5	5	3360	39	88.57142857142	37	2	66	1.45591133004	220	14	10	15	7	14.24	73.874926944	20
"Mark Beeney"	6	5	3128	35	89.56	35	0	39	1.46883412716	160	13	12	9	13	34.18	74.331410824	20
"Jamie Ashdown"	6	4	3692	42	86.333333333325	41	1	65	1.4638073703	264	7	11	23	7	17.525	75.066581515	20
"Nigel Spink"	4	4	4666	55	69.31153846155	51	4	63	1.574695450425	228	24	13	15	16	24.575	54.5886113425	19
"Mark Bunn"	6	4	3248	39	83.891304347825	37	2	60	1.6673682317	164	10	11	16	8	14.55	66.2942468525	19
"Richard Kingson"	4	3	2136	25	87.5	23	2	46	1.85205355116667	142	6	4	14	4	16.3666666666667	67.3319327733333	19
"Claudio Bravo"	2	2	2194	25	82.3939393939	24	1	27	0.79362723935	66	14	5	5	6	36.35	70	19
"Steve Harper"	17	11	11526	134	85.3252513826	125	9	171	1.45926348382727	613	35	40	54	30	21.9818181818182	70.1042682118182	19
"Vicente Guaita"	1	1	1755	20	87.75	20	0	23	1.1794871795	87	10	4	6	7	35	73.56321839	19
"Vinnie Jones"	1	1	30	1	30	0	1	3	9	6	0	0	0	0		50	18
"Adam Federici"	11	4	2677	31	79.625	29	2	60	1.9347943723	158	6	7	17	4	16.075	58.26153484	18
"Darren Randolph"	11	3	2610	29	90	29	0	53	1.92424242423333	134	10	6	13	6	17.1666666666667	59.7222222233333	18
"Rob Elliot"	6	5	4570	52	85.7	51	1	88	2.00601867694	230	15	9	28	9	16.44	62.27195972	18
"Loris Karius"	2	2	2610	29	90	29	0	26	0.96842105265	77	17	8	4	13	41.3	65.694444445	18
"Jan Stejskal"	2	2	3628	41	87.93333333335	40	1	53	1.31766602965	183	17	12	12	11	26.1	71.076146075	18
"Frode Grodås"	1	1	1890	21	90	20	1	32	1.5238095238	112	6	6	8	4	20	71.42857143	18
"Roy Carroll"	7	7	8312	94	87.3836734693857	91	3	114	1.15894814875714	445	40	23	29	28	31.1571428571429	77.3634639428572	18
"Eldin Jakupović"	5	4	2478	28	86.5	27	1	47	2.10645933015	130	9	6	13	6	18.175	46.3290447875	17
"Márton Fülöp"	5	4	3895	44	89	43	1	68	1.67556561086	183	10	10	23	8	7.96	64.038331122	17
"Allan McGregor"	2	2	4568	52	87.84615384615	52	0	70	1.3761220826	205	12	12	27	12	23.05	65.83380925	17
"Alex McCarthy"	7	5	5907	66	87.8	65	1	110	1.85947283656	339	13	22	31	11	20.72	66.038842782	17
"Tony Roberts"	4	4	7162	80	89.660714285725	80	0	111	1.470805363125	369	31	15	30	16	19.05	68.17967645	17
